R3 (Ω),V(vs) (V),V(vx) (V),V(vy) (V),I(R1) (A),I(R2) (A),I(R3) (A),I(V1) (A)
1000,15,8.486842,6.513158,0.008486842,0.001973684,0.006513158,-0.008486842
3000,15,5.833333,9.166667,0.005833333,0.002777778,0.003055556,-0.005833333
5000,15,5.020162,9.979838,0.005020161,0.003024193,0.001995968,-0.005020161
7000,15,4.62575,10.37425,0.004625748,0.003143713,0.001482036,-0.004625748
9000,15,4.39286,10.60714,0.004392857,0.003214286,0.001178571,-0.004392857
11000,15,4.23913,10.76087,0.00423913,0.00326087,0.0009782609,-0.00423913
13000,15,4.13007,10.86993,0.004130068,0.003293919,0.0008361486,-0.004130068
15000,15,4.04867,10.95133,0.004048673,0.003318584,0.0007300885,-0.004048673
17000,15,3.9856,11.0144,0.003985602,0.003337696,0.0006479057,-0.003985602
19000,15,3.93529,11.06471,0.003935294,0.003352941,0.0005823529,-0.003935294
21000,15,3.89423,11.10577,0.003894231,0.003365385,0.0005288462,-0.003894231
23000,15,3.86008,11.13992,0.003860078,0.003375734,0.0004843444,-0.003860078
25000,15,3.83123,11.16877,0.003831228,0.003384477,0.0004467509,-0.003831228
27000,15,3.80653,11.19347,0.003806533,0.00339196,0.0004145729,-0.003806533
29000,15,3.78516,11.21484,0.003785156,0.003398438,0.0003867187,-0.003785156
31000,15,3.76647,11.23353,0.003766472,0.003404099,0.0003623719,-0.003766472
33000,15,3.75,11.25,0.00375,0.003409091,0.0003409091,-0.00375
35000,15,3.73537,11.26463,0.003735371,0.003413524,0.0003218465,-0.003735371
37000,15,3.72229,11.27771,0.003722291,0.003417488,0.000304803,-0.003722291
39000,15,3.71053,11.28947,0.003710526,0.003421053,0.0002894737,-0.003710526
41000,15,3.69989,11.30011,0.003699889,0.003424276,0.0002756125,-0.003699889
43000,15,3.69022,11.30978,0.003690223,0.003427205,0.0002630181,-0.003690223
45000,15,3.6814,11.3186,0.003681402,0.003429878,0.0002515244,-0.003681402
47000,15,3.67332,11.32668,0.00367332,0.003432327,0.0002409932,-0.00367332
49000,15,3.66589,11.33411,0.003665888,0.003434579,0.0002313084,-0.003665888
50000,15,3.66239,11.33761,0.003662391,0.003435639,0.0002267522,-0.003662391
