R3 (kΩ),Is (mA),I1 (mA),I2 (mA),Vx (V),Vy (V)
1,8.49,1.97,6.51,8.49,6.51
2,6.68,2.52,4.16,6.68,8.32
3,5.83,2.78,3.06,5.83,9.17
4,5.34,2.93,2.41,5.34,9.66
5,5.02,3.02,2,5.02,9.98
6,4.79,3.09,1.7,4.79,10.21
7,4.63,3.14,1.48,4.63,10.37
8,4.5,3.18,1.31,4.5,10.5
9,4.39,3.21,1.18,4.39,10.61
10,4.31,3.24,1.07,4.31,10.69
11,4.24,3.26,0.98,4.24,10.76
12,4.18,3.28,0.9,4.18,10.82
13,4.13,3.29,0.84,4.13,10.87
14,4.09,3.31,0.78,4.09,10.91
15,4.05,3.32,0.73,4.05,10.95
16,4.02,3.33,0.69,4.02,10.98
17,3.99,3.34,0.65,3.99,11.01
18,3.96,3.35,0.61,3.96,11.04
19,3.94,3.35,0.58,3.94,11.06
20,3.91,3.36,0.55,3.91,11.09
21,3.89,3.37,0.53,3.89,11.11
22,3.88,3.37,0.51,3.88,11.12
23,3.86,3.38,0.48,3.86,11.14
24,3.85,3.38,0.46,3.85,11.15
25,3.83,3.38,0.45,3.83,11.17
26,3.82,3.39,0.43,3.82,11.18
27,3.81,3.39,0.41,3.81,11.19
28,3.8,3.4,0.4,3.8,11.2
29,3.79,3.4,0.39,3.79,11.21
30,3.78,3.4,0.37,3.78,11.22
31,3.77,3.4,0.36,3.77,11.23
32,3.76,3.41,0.35,3.76,11.24
33,3.75,3.41,0.34,3.75,11.25
34,3.74,3.41,0.33,3.74,11.26
35,3.74,3.41,0.32,3.74,11.26
36,3.73,3.42,0.31,3.73,11.27
37,3.72,3.42,0.3,3.72,11.28
38,3.72,3.42,0.3,3.72,11.28
39,3.71,3.42,0.29,3.71,11.29
40,3.71,3.42,0.28,3.71,11.29
41,3.7,3.42,0.28,3.7,11.3
42,3.69,3.43,0.27,3.69,11.31
43,3.69,3.43,0.26,3.69,11.31
44,3.69,3.43,0.26,3.69,11.31
45,3.68,3.43,0.25,3.68,11.32
46,3.68,3.43,0.25,3.68,11.32
47,3.67,3.43,0.24,3.67,11.33
48,3.67,3.43,0.24,3.67,11.33
49,3.67,3.43,0.23,3.67,11.33
50,3.66,3.44,0.23,3.66,11.34
